Brand,model,Age,kmDriven,Transmission,Owner,FuelType,AskPrice,km_per_year,post_year,post_month
Volkswagen,Polo,11.0,61000,Automatic,first,Petrol,35.81628368486083,5545.0,2026,11
Hyundai,Grand I10,10.0,54000,Automatic,second,Petrol,33.51200885143822,5400.0,2026,11
Maruti Suzuki,Ciaz,4.0,168500,Manual,first,Petrol,35.81454676324849,25624.5,2026,11
Toyota,Innova Crysta,2.0,25000,Automatic,first,Diesel,35.816284955916885,12500.0,2026,11
Maruti Suzuki,Celerio,9.0,168500,Automatic,second,Petrol,35.81454540802352,18722.0,2026,11
Mahindra,Thar,2.0,14000,Automatic,first,Petrol,35.814592585530434,7000.0,2026,11
Tata,Bolt,9.0,56000,Manual,first,Petrol,35.878488422229225,6222.0,2026,11
BMW,5 Series,8.0,47000,Automatic,second,Diesel,35.816284955916885,5875.0,2026,11
Jaguar,Xf,11.0,97763,Automatic,second,Diesel,35.814592585530434,8888.0,2026,11
Tata,Tiago,3.0,74000,Manual,second,Petrol,37.979496487628296,24667.0,2026,11
Honda,Brio,9.0,168500,Manual,second,Petrol,33.512010155698235,18722.0,2026,11
Toyota,Innova Crysta,3.0,168500,Manual,second,Diesel,35.816284955916885,25624.5,2026,11
Skoda,Rapid,10.0,71000,Automatic,second,Petrol,35.87848845788742,7100.0,2026,11
Mahindra,Thar,4.0,40000,Manual,first,Diesel,35.816283646942864,10000.0,2026,11
BMW,3 Series Gt,9.0,61000,Automatic,second,Diesel,33.51196031721554,6778.0,2026,11
Hyundai,I20,14.0,83000,Manual,second,Petrol,35.878488422229225,5929.0,2026,7
Toyota,Fortuner,12.0,166000,Manual,second,Diesel,35.87685506449377,13833.0,2026,8
Tata,Indigo Marina,17.5,168500,Manual,second,Petrol,35.87689942908348,9629.0,2026,11
Maruti Suzuki,Ertiga,5.0,91000,Manual,first,Diesel,38.17944019643862,18200.0,2026,11
Tata,Safari,2.0,27000,Manual,first,Diesel,35.81454676430722,13500.0,2026,11
Hyundai,Creta,6.0,77620,Automatic,first,Diesel,38.050678795515715,12937.0,2026,11
Ford,Ecosport,7.0,85000,Manual,second,Diesel,38.179440196466345,12143.0,2026,10
Tata,Nano Genx,8.0,58,Automatic,second,Petrol,38.11532526241021,7.0,2026,11
Maruti Suzuki,Swift-Dzire,8.0,25,Manual,second,Diesel,38.1810735842057,3.0,2026,11
Maruti Suzuki,Alto-800,17.5,20024,Manual,first,Petrol,35.81628495684627,1144.0,2026,11
Hyundai,Grand I10,10.0,80000,Manual,second,Petrol,38.11886877782721,8000.0,2026,11
Volkswagen,Polo,5.0,168500,Automatic,second,Petrol,33.44551005772415,25624.5,2026,11
Honda,City Hybrid Ehev,8.0,77000,Automatic,first,Petrol,35.876855103472344,9625.0,2026,11
Maruti Suzuki,Swift,6.0,63259,Automatic,second,Diesel,35.81454540918181,10543.0,2026,11
Ford,Ecosport,7.0,110000,Manual,first,Diesel,35.81628495591616,15714.0,2026,11
Hyundai,I20,1.0,14000,Automatic,first,Petrol,38.11713053998527,14000.0,2026,10
Volkswagen,Tiguan,6.0,52000,Automatic,first,Diesel,35.81628368483316,8667.0,2026,11
Mercedes-Benz,G,13.0,168500,Automatic,second,Diesel,35.816284955916885,12962.0,2026,11
BMW,3 Series,8.0,65000,Automatic,second,Diesel,35.81454536985541,8125.0,2026,11
Renault,Duster,8.0,75000,Automatic,second,Diesel,35.74814557141285,9375.0,2026,11
Maruti Suzuki,Swift,17.0,135000,Manual,second,Diesel,38.11886877881816,7941.0,2026,11
Toyota,Innova,10.0,105000,Manual,second,Diesel,35.816327972322895,10500.0,2026,11
Land Rover,Range Rover,8.0,168500,Automatic,second,Diesel,35.816284955916885,21062.0,2026,11
BMW,7 Series,11.0,61000,Automatic,second,Diesel,35.748093701424075,5545.0,2026,11
Maruti Suzuki,Grand Vitara,1.0,21209,Manual,first,Petrol,35.87690070496924,21209.0,2026,11
