Age,kmDriven,AskPrice,km_per_year,post_year,post_month,Transmission_Manual,Owner_second,FuelType_Hybrid/CNG,FuelType_Petrol,Brand_encoded,model_encoded
5.0,67000,3.607,13400.0,2026,11,1,1,0,0,36.199,36.113
9.0,69000,3.667,7667.0,2026,11,1,1,0,1,36.199,36.169
3.0,49000,3.607,16333.0,2026,10,1,0,0,1,36.018,35.902
11.0,162000,3.667,14727.0,2026,11,1,1,0,0,36.018,35.997
6.0,86000,3.668,14333.0,2026,11,1,0,0,0,36.539,36.976
1.0,35000,3.607,25624.5,2026,11,0,0,0,0,35.975,36.094
10.0,38000,3.542,3800.0,2026,11,1,0,0,1,36.018,36.065
4.0,105000,3.542,25624.5,2026,11,1,0,0,0,35.975,36.094
2.0,25500,3.668,12750.0,2026,11,0,0,0,0,36.539,38.156
9.0,168500,3.607,18722.0,2026,11,1,0,0,1,36.018,36.006
8.0,78000,3.607,9750.0,2026,11,0,0,0,1,36.188,36.055
17.5,168500,3.607,9629.0,2026,11,1,0,0,0,36.539,36.145
6.0,66000,3.664,11000.0,2026,10,0,1,0,1,35.975,36.094
8.0,75000,3.607,9375.0,2026,11,1,0,0,0,36.539,36.353
6.0,85600,3.667,14267.0,2026,11,1,0,0,0,36.018,35.88
12.0,155000,3.666,12917.0,2026,11,1,1,0,0,36.018,36.128
14.0,46000,3.605,3286.0,2026,11,1,1,0,1,35.975,35.934
9.0,68000,3.607,7556.0,2026,11,1,0,0,1,36.018,36.232
6.0,73000,3.542,12167.0,2026,11,0,0,0,1,36.179,35.999
13.0,74000,3.607,5692.0,2026,11,0,1,0,1,36.022,35.983
6.0,65000,3.542,10833.0,2026,11,0,1,0,1,36.018,36.136
3.0,50000,3.668,16667.0,2026,11,0,0,0,1,36.021,35.848
10.0,61000,3.607,6100.0,2026,11,0,0,0,1,36.022,35.983
17.5,98000,3.607,5600.0,2026,11,1,1,0,1,36.018,36.136
7.0,76000,3.607,10857.0,2026,11,0,1,0,0,36.134,36.111
8.0,89100,3.607,11138.0,2026,11,1,1,0,0,36.134,36.111
6.0,73961,3.607,12327.0,2026,11,0,1,0,1,36.188,36.12
5.0,60000,3.668,12000.0,2026,11,0,0,0,0,36.179,36.564
6.0,46850,3.607,7808.0,2026,11,1,1,0,0,36.134,35.877
1.0,168500,3.607,25624.5,2026,11,0,0,0,0,36.134,35.877
11.0,99000,3.605,9000.0,2026,11,1,1,0,0,36.134,36.111
15.0,56328,3.605,3755.0,2026,11,1,0,0,1,36.018,36.132
9.0,42000,3.542,4667.0,2026,11,0,1,0,0,36.021,34.554
6.0,168500,3.605,25624.5,2026,11,1,0,0,0,35.975,36.094
11.0,78000,3.607,7091.0,2026,11,0,1,0,1,37.081,36.658
2.0,31000,3.668,15500.0,2026,11,0,0,0,0,36.539,36.353
4.0,57000,3.668,14250.0,2026,11,0,0,0,0,36.099,37.235
7.0,70000,3.668,10000.0,2026,10,0,1,0,0,36.179,36.564
8.0,93000,3.607,11625.0,2026,11,0,1,0,1,36.022,35.983
10.0,41453,3.667,4145.0,2026,11,1,1,0,1,35.975,35.986
3.0,33000,3.607,11000.0,2026,11,1,0,0,1,36.199,35.669
6.0,37000,3.607,6167.0,2026,11,0,1,0,1,36.018,35.745
9.0,65000,3.607,7222.0,2026,11,1,0,0,1,36.188,36.12
2.0,36000,3.607,18000.0,2026,11,0,0,0,1,35.975,35.834
8.0,130000,3.668,16250.0,2026,10,0,1,0,1,36.539,36.809
11.0,100000,3.607,9091.0,2026,11,1,1,0,1,36.018,35.911
8.0,168500,3.607,21062.0,2026,11,0,0,0,0,37.196,36.473
5.0,48000,3.607,9600.0,2026,11,1,0,0,0,35.975,36.094
8.0,63000,3.607,7875.0,2026,11,0,1,0,0,37.196,37.9
9.0,168500,3.542,18722.0,2026,11,1,1,0,0,35.975,36.004
7.0,70000,3.667,10000.0,2026,11,0,0,0,0,36.099,36.125
11.0,59000,3.607,5364.0,2026,11,1,1,0,1,35.975,36.038
9.0,72000,3.667,8000.0,2026,11,0,1,0,0,36.134,36.403
12.0,74000,3.607,6167.0,2026,11,0,1,0,0,37.081,36.681
6.0,78127,3.607,13021.0,2026,11,1,0,0,0,36.022,35.983
4.0,26000,3.607,6500.0,2026,11,1,0,0,1,36.018,36.232
7.0,65663,3.607,9380.0,2026,11,0,1,0,1,36.001,36.004
6.0,24000,3.668,4000.0,2026,11,0,0,0,1,37.196,37.36
9.0,160000,3.607,17778.0,2026,11,0,1,0,0,36.539,36.976
4.0,168500,3.607,25624.5,2026,11,1,1,0,1,36.188,36.12
6.0,31000,3.607,5167.0,2026,11,1,0,0,1,36.018,36.025
5.0,55000,3.664,11000.0,2026,11,0,0,0,0,35.975,36.094
9.0,168500,3.607,18722.0,2026,11,1,1,0,0,36.018,36.006
2.0,37000,3.605,18500.0,2026,11,0,0,0,0,35.975,35.85
8.0,168500,3.667,21062.0,2026,11,1,0,0,1,36.018,36.121
9.0,75000,3.668,8333.0,2026,11,0,0,0,0,37.081,36.537
10.0,32001,3.607,3200.0,2026,11,1,1,0,1,36.022,36.269
0.0,22000,3.607,9622.0,2026,10,1,0,0,1,36.018,35.997
14.0,45000,3.607,3214.0,2026,11,1,1,0,1,35.975,36.004
3.0,60000,3.668,20000.0,2026,9,0,0,0,1,36.539,36.976
3.0,41000,3.607,13667.0,2026,10,0,0,0,1,36.372,36.196
9.0,51000,3.605,5667.0,2026,11,1,1,0,1,36.188,36.12
3.0,28000,3.667,9333.0,2026,11,0,1,0,1,36.539,36.513
5.0,38000,3.668,7600.0,2026,11,0,0,0,0,37.196,37.36
5.0,64800,3.607,12960.0,2026,11,0,0,0,0,36.099,36.125
2.0,17300,3.603,8650.0,2026,10,0,0,0,1,36.247,36.133
11.0,38000,3.605,3455.0,2026,11,1,0,0,1,36.188,36.055
13.0,95000,3.607,7308.0,2026,11,0,1,0,1,36.022,35.983
12.0,72000,3.607,6000.0,2026,11,1,0,0,1,36.022,36.269
8.0,135000,3.607,16875.0,2026,11,1,1,0,0,36.018,36.128
12.0,135000,3.605,11250.0,2026,11,1,1,0,0,36.539,36.113
5.0,160000,3.605,25624.5,2026,11,1,0,0,0,36.188,36.055
2.0,14000,3.607,7000.0,2026,10,0,0,0,0,36.199,36.113
4.0,50200,3.607,12550.0,2026,11,0,0,0,1,36.372,36.196
10.0,47000,3.542,4700.0,2026,11,1,0,0,1,36.018,35.911
9.0,42000,3.542,4667.0,2026,11,0,1,0,0,36.021,34.554
13.0,59600,3.607,4585.0,2026,11,1,1,0,1,36.022,35.983
14.0,8000,3.542,571.0,2026,11,0,1,0,1,36.018,36.19
1.0,30000,3.607,25624.5,2026,11,1,0,0,1,36.018,36.065
7.0,54000,3.605,7714.0,2026,11,0,1,0,1,36.001,36.004
17.5,80000,3.607,4571.0,2026,11,1,1,0,1,36.018,36.322
13.0,100000,3.607,7692.0,2026,11,0,1,0,0,36.087,36.325
7.0,48000,3.607,6857.0,2026,11,0,0,0,0,36.134,36.111
11.0,150000,3.605,13636.0,2026,11,0,1,0,0,35.975,36.038
8.0,63000,3.666,7875.0,2026,11,1,1,0,1,35.975,36.094
10.0,168500,3.607,16850.0,2026,11,0,1,0,0,36.539,36.976
6.0,168500,3.605,25624.5,2026,11,1,0,0,1,36.022,35.983
3.0,56001,3.607,18667.0,2026,11,0,0,0,0,36.022,36.119
7.0,25000,3.666,3571.0,2026,11,1,0,0,0,36.539,36.353
9.0,68001,3.667,7556.0,2026,10,1,1,0,1,36.022,35.932
11.0,72000,3.607,6545.0,2026,11,1,0,0,0,36.001,37.0
5.0,50000,3.668,10000.0,2026,11,0,1,0,0,37.196,37.504
8.0,95000,3.607,11875.0,2026,11,1,1,0,1,36.022,35.983
3.0,39000,3.607,13000.0,2026,11,0,0,0,1,36.018,36.549
11.0,60000,3.605,5455.0,2026,11,1,1,0,0,36.134,36.111
7.0,72315,3.542,10331.0,2026,11,0,1,0,0,35.975,35.824
10.0,82000,3.667,8200.0,2026,11,0,1,0,1,35.975,36.038
9.0,68000,3.607,7556.0,2026,11,0,1,0,1,36.539,36.809
5.0,85000,3.607,17000.0,2026,11,0,1,0,1,36.018,35.905
8.0,64000,3.607,8000.0,2026,11,0,0,0,0,35.975,36.992
8.0,68500,3.607,8562.0,2026,11,1,1,0,1,35.975,35.897
2.0,168500,3.607,25624.5,2026,11,0,0,0,1,36.018,35.842
5.0,168500,3.607,25624.5,2026,11,1,0,0,1,36.018,36.136
2.0,32000,3.607,16000.0,2026,10,0,0,0,1,36.066,36.172
10.0,45000,3.607,4500.0,2026,11,0,1,0,0,36.021,36.51
8.0,130000,3.666,16250.0,2026,10,0,1,0,1,36.188,36.055
3.0,32000,3.668,10667.0,2026,10,0,1,0,1,37.081,38.156
5.0,69000,3.607,13800.0,2026,11,1,0,0,1,36.018,35.911
7.0,112000,3.668,16000.0,2026,10,0,0,0,0,36.539,36.353
10.0,32000,3.607,3200.0,2026,10,0,1,0,0,37.101,35.853
7.0,168500,3.607,24071.0,2026,11,0,0,0,1,36.001,36.004
6.0,70673,3.607,11779.0,2026,11,0,0,0,0,36.188,36.055
6.0,39848,3.607,6641.0,2026,11,1,0,0,1,36.018,36.025
8.0,77000,3.666,9625.0,2026,11,0,0,0,0,36.021,36.345
16.0,111400,3.607,6962.0,2026,11,1,1,0,1,36.018,35.905
7.0,30000,3.668,4286.0,2026,11,0,1,0,0,36.539,36.976
9.0,82000,3.607,9111.0,2026,11,0,1,0,0,36.099,36.125
11.0,89000,3.607,8091.0,2026,11,1,1,0,0,36.018,35.997
9.0,168500,3.607,18722.0,2026,11,0,0,0,0,36.539,36.976
7.0,65110,3.605,9301.0,2026,11,1,0,0,0,36.199,36.162
2.0,25000,3.542,12500.0,2026,9,1,0,0,1,35.975,35.379
